state_n,V
0,56.74958646405416
1,56.60467155709787
2,56.32597821915193
3,55.927027493284925
4,55.422622834775886
5,54.81805710377807
6,54.11835752886977
7,53.32829907945111
8,52.452417237314926
9,51.49502032108736
10,50.46020172646548
11,49.35185302488629
12,48.17368046387742
13,46.92923182652446
14,45.621952775983765
15,44.25532535088991
16,42.83323371884139
17,41.360957073864796
18,39.84251354319358
19,38.279977431152325
20,36.67533089568259
21,35.03047069482393
22,33.347221198391225
23,31.627369931230714
24,29.872782873695936
25,28.085800896430317
26,26.270626028659287
27,24.43819171047904
28,22.623294830663745
29,20.944881797749723
30,19.736928337809925
